yisuv id,rikuz,left,right,arab,population,address,yisuv name,lat,lon
7.0,1.0,128.0,245.0,0.0,534,שחר,שחר,31.61809,34.725052
10.0,1.0,7.0,260.0,0.0,337,תירוש,תירוש,31.749229,34.886717
11.0,1.0,177.0,118.0,0.0,454,"ניר ח""ן","ניר ח""ן",31.60901,34.71462
13.0,1.0,339.0,55.0,5.0,495,חצבה,חצבה,30.767088,35.279298
15.0,1.0,12.0,230.0,0.0,318,נועם,נועם,31.56781,34.789406
16.0,1.0,337.0,18.0,5.0,487,בית ניר,בית ניר,31.648892,34.875032
18.0,1.0,192.0,122.0,0.0,408,שדה משה,שדה משה,31.609376,34.800272
21.0,1.0,275.0,204.0,3.0,731,באר אורה,באר אורה,29.7090701,34.9894798
22.0,1.0,65.0,44.0,0.0,160,מקווה ישראל,מקווה ישראל,32.028319,34.781883
23.0,1.0,46.0,58.0,0.0,150,אמציה,אמציה,31.53277,34.913884
24.0,1.0,436.0,47.0,3.0,631,לכיש,לכיש,31.561714,34.842957
26.0,1.0,967.0,650.0,19.0,2532,מעלה גיא אוני,ראש פינה,32.96909767,35.54396373
27.0,2.0,16.0,188.0,0.0,277,שדות מיכה,שדות מיכה,31.719803,34.919994
28.0,1.0,756.0,529.0,1.0,1813,בית און,מזכרת בתיה,31.85585935,34.8394818
28.0,3.0,1469.0,1021.0,2.0,3296,שד מוטה גור,מזכרת בתיה,31.84872449,34.83934075
28.0,5.0,942.0,691.0,5.0,1770,"שחם יואב,5 ",מזכרת בתיה,31.85398379,34.84031456
28.0,6.0,860.0,528.0,4.0,2540,"שד אליהו,4 ",מזכרת בתיה,31.854729,34.84128098
28.0,7.0,836.0,702.0,0.0,1866,"שד רפאל סויסה,40 ",מזכרת בתיה,31.84493905,34.84606941
29.0,1.0,569.0,304.0,4.0,1349,יסוד המעלה,יסוד המעלה,33.057349,35.609412
31.0,1.0,132.0,803.0,1.0,1722,"צה""ל,4 ",אופקים,31.31164412,34.6186029
31.0,2.0,137.0,499.0,5.0,1104,גולומב,אופקים,31.31177538,34.61249289
31.0,3.0,21.0,1473.0,1.0,1887,"חפץ חיים,26 ",אופקים,31.30757298,34.623223
31.0,4.0,24.0,202.0,4.0,377,"קבוץ גלויות,5 ",אופקים,31.32054469,34.61793327
31.0,6.0,37.0,244.0,1.0,458,"הפלמ""ח,1 ",אופקים,31.31555,34.61727696
31.0,7.0,51.0,174.0,0.0,457,הנשיא,אופקים,31.31932416,34.61905374
31.0,8.0,46.0,949.0,0.0,1294,"עמרם בן דיואן,4 ",אופקים,31.30824666,34.6237754
31.0,9.0,304.0,2038.0,2.0,3322,"דרך הטייסים,4 ",אופקים,31.30526871,34.62091353
31.0,13.0,179.0,708.0,3.0,1510,"צאלון,1 ",אופקים,31.30361411,34.61617936
31.0,15.0,366.0,2130.0,7.0,3364,"דרך הטייסים,903 ",אופקים,31.29503403,34.63333317
31.0,16.0,110.0,1147.0,0.0,1598,"רבי עקיבא,12 ",אופקים,31.30590896,34.62342023
