yisuv name,yisuv id,קלפי,rikuz,מצביעים,כשרים,אמת,אצ,ב,ג,ד,ום,ז,זך,זנ,זץ,ט,י,יז,ינ,יץ,יק,כן,ך,ל,מחל,מרצ,נז,ני,נף,נץ,נק,נר,עם,פה,ף,צ,ץ2,ק,קי,קך,קנ,קץ,רז,שס,ת,
אבו גווייעד שבט,967,3.1,1,173,169,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,2,169
אבו גווייעד שבט,967,3.2,1,96,95,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,1,
אבו גווייעד שבט,967,3.3,1,169,168,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,150,1,0,0,0,0,0,0,0,0,0,2,0,
אבו גווייעד שבט,967,3.4,1,111,108,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,96,0,0,1,0,0,0,0,0,0,0,2,0,
אבו גוש,472,1.1,5,360,353,1,0,0,0,171,43,0,0,0,0,1,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,110,5,0,0,1,0,0,0,0,0,0,0,0,
אבו גוש,472,1.2,5,333,329,3,0,0,0,137,40,0,0,0,0,1,0,0,0,0,0,2,0,0,34,8,0,0,0,0,0,0,98,4,0,0,1,0,0,0,0,0,0,1,0,
אבו גוש,472,1.3,5,324,321,2,0,0,0,176,36,0,0,0,0,1,0,0,0,0,0,2,1,0,10,3,0,0,0,0,0,0,81,2,0,1,3,1,0,1,0,1,0,0,0,
אבו גוש,472,3,2,350,348,1,0,0,0,139,33,0,0,0,0,1,0,0,0,0,0,0,0,0,46,3,0,0,0,0,0,0,118,4,0,1,0,0,0,0,0,0,0,2,0,
אבו גוש,472,5,2,260,254,0,0,0,0,102,22,0,0,0,0,1,0,0,0,0,0,0,1,0,20,5,0,0,0,0,0,0,99,3,0,0,1,0,0,0,0,0,0,0,0,
אבו גוש,472,6.1,4,284,280,1,0,0,0,140,43,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,84,1,0,0,0,0,0,0,0,0,0,0,0,
אבו גוש,472,6.2,4,306,298,3,1,1,2,107,30,0,0,0,0,2,0,0,0,0,0,3,0,1,30,8,0,0,0,0,0,0,105,2,0,0,1,0,0,0,0,2,0,0,0,
אבו גוש,472,6.3,4,317,314,2,0,0,0,157,41,0,0,0,0,3,0,0,0,0,0,0,1,1,30,9,0,0,0,0,0,0,65,3,0,0,0,0,0,0,1,0,0,1,0,
אבו גוש,472,8,2,275,272,1,0,0,1,134,24,0,0,0,0,3,0,0,0,0,0,1,0,0,18,10,0,0,0,0,0,0,78,2,0,0,0,0,0,0,0,0,0,0,0,
אבו סנאן,473,1.1,1,263,260,2,0,0,0,54,114,0,0,1,0,0,0,0,0,0,0,6,0,1,12,2,0,0,0,0,0,0,65,0,0,0,1,0,1,0,0,0,0,1,0,
אבו סנאן,473,1.2,1,203,197,0,0,1,0,27,86,0,0,0,0,0,1,0,0,0,0,8,0,11,3,2,0,0,0,0,0,0,51,4,0,0,0,0,0,0,0,2,0,1,0,
אבו סנאן,473,5.1,2,285,284,3,0,1,0,42,151,0,0,0,0,0,0,0,0,1,0,39,0,15,14,6,0,0,0,0,0,0,3,8,0,1,0,0,0,0,0,0,0,0,0,
אבו סנאן,473,5.2,2,265,259,3,0,0,0,46,111,0,0,0,0,0,0,0,3,0,0,4,0,5,3,4,0,0,0,1,0,0,71,8,0,0,0,0,0,0,0,0,0,0,0,
אבו סנאן,473,5.3,2,280,274,1,0,0,0,43,117,0,0,0,0,0,0,0,0,0,0,17,0,12,21,2,0,0,0,1,0,0,57,1,0,0,0,0,1,0,0,1,0,0,0,
אבו סנאן,473,8.1,3,327,322,2,0,0,0,23,206,0,0,0,0,0,0,0,0,0,0,7,0,12,22,2,0,0,0,0,0,0,43,4,0,0,0,0,0,0,0,1,0,0,0,
אבו סנאן,473,8.2,3,283,281,1,0,0,0,13,119,0,0,0,0,2,1,0,0,0,0,39,0,22,32,2,0,0,0,0,0,0,40,5,0,0,1,0,0,0,2,1,0,1,0,
אבו סנאן,473,8.3,3,310,306,0,0,0,0,35,132,0,0,0,0,0,0,0,0,0,0,7,0,1,2,3,0,0,0,0,0,0,124,0,0,0,0,1,0,0,1,0,0,0,0,
אבו סנאן,473,9.1,5,275,271,2,0,0,0,61,96,0,0,0,0,0,1,0,0,0,0,17,0,13,9,10,0,0,0,0,1,0,51,10,0,0,0,0,0,0,0,0,0,0,0,
אבו סנאן,473,9.2,5,277,271,0,0,0,0,30,88,1,0,0,0,0,0,0,0,0,0,39,0,22,31,8,0,0,0,0,1,0,40,11,0,0,0,0,0,0,0,0,0,0,0,
אבו סנאן,473,9.3,5,261,258,1,0,0,0,23,70,2,0,0,0,0,0,0,0,0,0,13,0,18,24,2,0,0,0,0,0,0,94,11,0,0,0,0,0,0,0,0,0,0,0,
אבו סנאן,473,11.1,6,276,274,1,0,0,0,65,122,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,0,0,0,0,0,0,73,1,0,0,1,0,1,0,0,0,0,1,1,
אבו סנאן,473,11.2,6,271,263,0,0,0,0,46,70,0,0,0,0,0,0,0,0,0,0,17,0,13,24,5,0,0,0,0,0,0,80,8,0,0,0,0,0,0,0,0,0,0,0,
אבו סנאן,473,11.3,6,228,224,5,0,1,0,12,56,0,0,0,0,1,0,0,0,0,1,29,0,37,35,7,1,0,0,0,0,0,26,11,0,0,0,0,0,0,0,1,0,1,0,
אבו סנאן,473,13.1,4,359,356,3,0,0,0,31,198,0,0,0,0,0,1,0,1,0,0,21,1,19,26,1,0,0,0,0,0,0,50,3,0,0,0,0,0,0,0,0,0,1,0,
אבו סנאן,473,13.2,4,318,313,0,0,0,0,36,81,0,0,0,0,1,0,0,0,0,0,31,1,18,17,2,0,0,0,0,1,0,114,7,0,0,0,0,0,1,0,2,0,1,0,
אבו סנאן,473,13.3,4,311,310,3,0,0,0,19,71,1,1,1,0,1,0,0,0,0,0,37,0,36,52,7,0,0,0,2,0,0,57,17,0,0,1,0,0,0,0,0,0,4,0,
אבו סנאן,473,13.4,4,344,340,6,0,0,0,26,32,0,0,0,0,1,0,0,0,0,0,39,0,72,61,4,0,0,0,1,0,0,68,30,0,0,0,0,0,0,0,0,0,0,0,
אבו סנאן,473,13.5,4,322,319,1,0,0,0,45,110,0,0,0,0,0,0,0,0,0,0,30,0,25,15,11,0,0,0,0,0,0,53,24,0,0,0,0,0,0,3,1,0,1,0,
אבו עבדון שבט,958,1,1,41,41,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,
אבו קורינאת שבט,968,5.1,1,204,201,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,177,3,0,0,0,0,0,1,0,0,0,1,0,
אבו קורינאת שבט,968,5.2,1,203,202,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,190,1,0,0,0,0,0,0,0,0,0,0,0,
אבו קורינאת שבט,968,5.3,1,275,274,0,0,1,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,246,0,0,0,1,0,0,0,1,0,0,2,0,
אבו קורינאת שבט,968,5.4,1,320,319,1,0,0,0,1,25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,288,0,0,0,0,0,0,1,0,0,0,0,0,
אבו קורינאת שבט,968,5.5,1,213,213,1,0,0,0,2,5,0,0,0,1,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,195,0,1,0,0,0,0,0,0,0,0,0,0,
אבו קרינאת יישוב,1342,1.1,2,187,183,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,165,7,0,1,0,0,0,0,0,0,0,0,0,
אבו קרינאת יישוב,1342,1.2,2,164,163,1,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,5,0,0,0,0,0,0,1,0,0,0,0,
אבו רובייעה שבט,966,5.1,1,205,196,4,0,0,1,2,9,0,0,0,0,0,0,1,0,0,0,1,0,2,7,2,0,0,0,0,0,1,161,3,0,0,0,0,2,0,0,0,0,0,0,
אבו רובייעה שבט,966,5.2,1,207,207,0,0,0,0,1,38,0,0,0,0,0,0,0,0,0,0,2,1,0,7,2,0,0,0,0,0,0,154,2,0,0,0,0,0,0,0,0,0,0,0,
אבו רובייעה שבט,966,5.3,1,204,203,0,0,0,0,3,6,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,185,2,0,0,0,0,0,1,0,0,0,0,0,
אבו רובייעה שבט,966,5.4,1,186,185,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,169,1,0,0,0,0,0,0,0,0,0,1,0,
אבו רובייעה שבט,966,5.5,1,183,180,1,0,0,0,10,9,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,145,1,1,1,1,1,0,0,1,0,1,2,0,
אבו רובייעה שבט,966,6.1,2,187,182,3,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,156,0,0,1,0,0,0,0,1,0,0,2,0,
אבו רובייעה שבט,966,6.2,2,173,172,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,158,0,0,0,0,0,2,0,0,0,1,0,0,
אבו רובייעה שבט,966,6.3,2,151,148,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,4,1,0,0,0,1,0,0,129,0,0,0,1,0,0,0,0,0,0,1,0,
אבו רוקייק שבט,961,1.1,1,222,222,0,0,0,0,10,69,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,1,0,0,0,0,0,0,0,
אבו רוקייק שבט,961,1.2,1,199,199,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,189,0,0,0,0,0,0,0,2,1,1,0,0,
אבו רוקייק שבט,961,1.3,1,273,270,0,0,0,0,1,6,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,255,0,0,0,0,0,0,0,0,2,0,0,0,
אבו רוקייק שבט,961,1.4,1,403,400,0,0,0,0,8,156,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,227,3,0,1,0,0,1,0,0,0,0,1,0,
אבו רוקייק שבט,961,1.5,1,302,302,0,0,0,0,9,68,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,221,1,0,1,0,0,0,0,0,0,0,0,0,
אבו רוקייק שבט,961,1.6,1,237,236,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,197,0,0,0,0,0,0,0,0,0,0,1,0,
אבו רוקייק שבט,961,1.7,1,239,236,0,0,0,0,4,22,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,204,1,0,1,0,0,1,0,0,0,0,0,0,
אבו רוקייק שבט,961,1.8,1,230,228,0,0,0,0,3,33,0,0,0,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,1,0,
אבו תלול,1375,1,1,319,315,0,0,0,0,5,53,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,
אבו תלול,1375,2,1,334,332,0,0,0,0,1,83,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,
אבטין,652,1,1,255,250,1,0,0,0,11,70,0,0,0,0,1,0,0,0,0,0,2,0,18,4,1,0,0,0,0,0,0,137,2,0,0,0,0,0,0,0,1,0,2,0,
